2018-04-14 15:04:15:546 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:04:24:334 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 10.589 seconds (JVM running for 12.7)
2018-04-14 15:06:32:638 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5787 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:06:32:640 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:06:40:969 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.837 seconds (JVM running for 11.702)
2018-04-14 15:08:19:928 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5790 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:08:19:930 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:08:27:092 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.39 seconds (JVM running for 9.919)
2018-04-14 15:08:58:444 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5792 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:08:58:446 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:09:05:408 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.274 seconds (JVM running for 9.717)
2018-04-14 15:37:14:102 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5810 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:37:14:104 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:37:21:124 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.459 seconds (JVM running for 10.072)
2018-04-14 15:37:21:408 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - [创建订单]result=OrderDTO(orderId=null, buyerName=谢明辉, buyerPhone=110110111, buyerAddress=广工, buyerOpenid=110110, orderAmount=null, orderStatus=null, payStatus=null, createTime=null, updateTime=null, orderDetailList=[OrderDetail(detailId=59f449749d3843d287db9234a5c50337, orderId=db08d62952534ca094650d457fec845a, productId=123453, productName=芒果冰, productPrice=7.00, productQuantity=1, productIcon=www.baidu.com)])
2018-04-14 15:42:58:475 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5814 (started by xieminghui in /Users/xieminghui/Downloads/sell)
